source_ledger,model_family,rebalance_freq,n_runs,sharpe_mean,sharpe_max,ann_return_mean,max_dd_mean,turnover_mean,train_time_mean_sec
results/results.jsonl,gnn,1,10,,,0.0991122727291127,-0.30957209786451445,0.5572531847133753,339.63043012619016
results/results.jsonl,gnn,5,10,,,0.13127289331893893,-0.33753369977486863,0.14047770700636902,339.63043012619016
results/results.jsonl,lstm,1,1,,,0.128139159894537,-0.31588249454780903,0.23749999999999902,243.98795676231384
results/results.jsonl,lstm,5,1,,,0.13981788108210402,-0.35837177773974005,0.12348726114649601,243.98795676231384
results/results.jsonl,xgboost,1,3,0.504663737480047,0.504663737480047,0.08798261043603434,-0.31471927695414303,0.5839171974522287,83.34412964185078
results/results.jsonl,xgboost,5,3,0.6935574558215141,0.6935574558215141,0.13507017023724435,-0.32724082509432967,0.139331210191082,83.34412964185078
results/results_retune.jsonl,xgboost,1,1,0.415966338140386,0.415966338140386,0.07203084071039201,-0.32232673502708303,0.555095541401273,25.50920796394348
results/results_retune.jsonl,xgboost,5,1,0.602923245858214,0.602923245858214,0.11711250581207601,-0.357221223063237,0.135987261146496,25.50920796394348
results/results_tuned_all.jsonl,gnn,1,10,0.5059682646809922,0.6060515515289381,0.08832972258488261,-0.30958676676561814,0.5424283439490443,14131.902932024002
results/results_tuned_all.jsonl,gnn,5,10,0.642628119513206,0.702959157940076,0.1212973867692809,-0.33038350936003763,0.1380812101910823,14131.902932024002
results/results_tuned_all.jsonl,lstm,1,1,0.5322895406190641,0.5322895406190641,0.09750997100618701,-0.35233756308434305,0.370541401273885,254.4479660987854
results/results_tuned_all.jsonl,lstm,5,1,0.7143462410918561,0.7143462410918561,0.139800946134733,-0.347303382728054,0.12850318471337502,254.4479660987854
results/results_tuned_all.jsonl,mlp,1,1,0.8702984391604671,0.8702984391604671,0.17487210424978,-0.28062674388166003,0.509952229299363,35.315099000930786
results/results_tuned_all.jsonl,mlp,5,1,0.798272258944222,0.798272258944222,0.161801527391667,-0.33046400953286503,0.13805732484076402,35.315099000930786
results/results_tuned_all.jsonl,xgboost,1,3,0.5292088899404197,0.6601739988995341,0.09247402857440734,-0.3028909316192783,0.5743365180467087,35.67769908905029
results/results_tuned_all.jsonl,xgboost,5,3,0.7159105098075598,0.8058302190730461,0.13465882568502402,-0.3324412339112954,0.13744692144373602,35.67769908905029
