run_key,run_tag,model_family,model_name,edge_type,seed,target_type,target_horizon,rebalance_freq,split_id,config_hash,inclusion_status
70c479a4422f,gat_corr_only_tuned_all,gnn,gat,corr,42,regression,1,1,e677b2c83d8f,legacy_config,included
cfd37ef33612,gat_corr_sector_granger_tuned_all,gnn,gat,corr+sector+granger,42,regression,1,1,e677b2c83d8f,legacy_config,included
6045f2f78d7b,gat_granger_only_tuned_all,gnn,gat,granger,42,regression,1,1,e677b2c83d8f,legacy_config,included
e2ff1167dddc,gat_sector_only_tuned_all,gnn,gat,sector,42,regression,1,1,e677b2c83d8f,legacy_config,included
22e355c21cb9,gcn_corr_only_tuned_all,gnn,gcn,corr,42,regression,1,1,e677b2c83d8f,legacy_config,included
3cbdc6fbae4c,gcn_corr_sector_granger_tuned_all,gnn,gcn,corr+sector+granger,42,regression,1,1,e677b2c83d8f,legacy_config,included
3591d70c5c82,gcn_granger_only_tuned_all,gnn,gcn,granger,42,regression,1,1,e677b2c83d8f,legacy_config,included
66e308f98ffa,gcn_sector_only_tuned_all,gnn,gcn,sector,42,regression,1,1,e677b2c83d8f,legacy_config,included
d1fbb8e24eb9,tgat_static_corr_only_tuned_all,gnn,tgat_static,corr,42,regression,1,1,e677b2c83d8f,legacy_config,included
bc3875a10e37,tgcn_static_corr_only_tuned_all,gnn,tgcn_static,corr,42,regression,1,1,e677b2c83d8f,legacy_config,included
933109ce755b,lstm_tuned_all,lstm,lstm,none,42,regression,1,1,e677b2c83d8f,legacy_config,included
9eb683c0b5de,mlp_tuned_all,mlp,mlp,none,42,regression,1,1,e677b2c83d8f,2f660908496d,included
96768bf853ce,graphlasso_linear_tuned_all,xgboost,graphlasso_linear,graphlasso,42,regression,1,1,e677b2c83d8f,113d64fe54b5,included
75fe00a1eac3,xgb_node2vec_corr_tuned_all,xgboost,xgb_node2vec,node2vec_correlation,42,regression,1,1,e677b2c83d8f,legacy_config,included
67787a883a67,xgb_raw_tuned_all,xgboost,xgb_raw,none,42,regression,1,1,e677b2c83d8f,legacy_config,included
9b3a8cc400ee,gat_corr_only_tuned_all,gnn,gat,corr,42,regression,1,5,e677b2c83d8f,legacy_config,included
8c68d217e66e,gat_corr_sector_granger_tuned_all,gnn,gat,corr+sector+granger,42,regression,1,5,e677b2c83d8f,legacy_config,included
3fccfa77ecde,gat_granger_only_tuned_all,gnn,gat,granger,42,regression,1,5,e677b2c83d8f,legacy_config,included
602700f1cd84,gat_sector_only_tuned_all,gnn,gat,sector,42,regression,1,5,e677b2c83d8f,legacy_config,included
e3782196badf,gcn_corr_only_tuned_all,gnn,gcn,corr,42,regression,1,5,e677b2c83d8f,legacy_config,included
f0a36ee2e35b,gcn_corr_sector_granger_tuned_all,gnn,gcn,corr+sector+granger,42,regression,1,5,e677b2c83d8f,legacy_config,included
edebeee77e61,gcn_granger_only_tuned_all,gnn,gcn,granger,42,regression,1,5,e677b2c83d8f,legacy_config,included
6ae60981bc69,gcn_sector_only_tuned_all,gnn,gcn,sector,42,regression,1,5,e677b2c83d8f,legacy_config,included
9bdee7f1b541,tgat_static_corr_only_tuned_all,gnn,tgat_static,corr,42,regression,1,5,e677b2c83d8f,legacy_config,included
f07e6065a953,tgcn_static_corr_only_tuned_all,gnn,tgcn_static,corr,42,regression,1,5,e677b2c83d8f,legacy_config,included
09310fc18c1d,lstm_tuned_all,lstm,lstm,none,42,regression,1,5,e677b2c83d8f,legacy_config,included
d7b09cd9d2de,mlp_tuned_all,mlp,mlp,none,42,regression,1,5,e677b2c83d8f,2f660908496d,included
a0689a22bcaa,graphlasso_linear_tuned_all,xgboost,graphlasso_linear,graphlasso,42,regression,1,5,e677b2c83d8f,113d64fe54b5,included
64952c498bf0,xgb_node2vec_corr_tuned_all,xgboost,xgb_node2vec,node2vec_correlation,42,regression,1,5,e677b2c83d8f,legacy_config,included
725b09e91479,xgb_raw_tuned_all,xgboost,xgb_raw,none,42,regression,1,5,e677b2c83d8f,legacy_config,included
